DATE,HOUR,RENEWABLES,NUCLEAR,THERMAL,IMPORTS,HYDRO
10/12/20,1,2137,1125,8630,8012,1293
10/12/20,2,2012,1125,8476,7645,1174
10/12/20,3,1976,1126,8401,7721,911
10/12/20,4,1921,1127,8090,7898,892
10/12/20,5,1857,1127,8005,7862,1153
10/12/20,6,1830,1126,8681,8128,1212
10/12/20,7,1853,1126,9753,8420,1493
10/12/20,8,3196,1127,9765,7948,1581
10/12/20,9,8021,1127,8181,5565,1294
10/12/20,10,10997,1127,7340,3723,1321
10/12/20,11,11563,1126,7496,3515,1164
10/12/20,12,11850,1126,8141,3228,1224
10/12/20,13,11742,1126,8528,4196,1390
10/12/20,14,11678,1125,9929,4686,1489
10/12/20,15,11383,1125,12122,4725,1706
10/12/20,16,11068,1125,14143,4698,1848
10/12/20,17,9167,1125,15630,5954,2192
10/12/20,18,4818,1124,17750,8249,2585
10/12/20,19,2451,1125,19031,8611,2718
10/12/20,20,2783,1125,17529,8834,2772
10/12/20,21,2796,1125,15942,8748,2489
10/12/20,22,2597,1126,14571,8641,2254
10/12/20,23,2393,1126,13185,8323,1848
10/12/20,24,2068,1126,12141,7879,1505
10/11/20,1,5569,1124,7047,7044,1238
10/11/20,2,5499,1125,5818,7484,1192
10/11/20,3,5234,1124,5644,7459,1013
10/11/20,4,5042,1122,5654,7400,851
10/11/20,5,4717,1123,5609,7464,969
10/11/20,6,4751,1126,5846,7370,937
10/11/20,7,4584,1126,6505,7242,954
10/11/20,8,6005,1126,6291,6220,836
10/11/20,9,10214,1126,4814,3783,601
10/11/20,10,12123,1126,4747,1970,521
10/11/20,11,13181,1126,4581,894,531
10/11/20,12,13075,1125,4711,913,486
10/11/20,13,12766,1124,4866,1502,489
10/11/20,14,12393,1124,5657,1930,442
10/11/20,15,11956,1123,6782,2541,436
10/11/20,16,11559,1124,7974,3038,599
10/11/20,17,9835,1125,9177,4299,1107
10/11/20,18,5298,1124,11844,6967,1760
10/11/20,19,2818,1124,13125,8280,2324
10/11/20,20,2891,1124,13175,8315,2237
10/11/20,21,2950,1125,12707,8100,1869
10/11/20,22,2597,1125,12281,7865,1673
10/11/20,23,2306,1125,10873,8115,1475
10/11/20,24,2165,1125,9731,8012,1254
10/10/20,1,4500,1122,8053,7796,1156
